seed,time_to_target_mass_s,final_beverage_mass_g,final_extraction_yield_percent,final_cumulative_tds_percent,median_permeability_m2
7,31.6,36.757882902643566,21.38195345138054,10.470547586873403,1.7197558542939209e-15
8,24.8,49.185187754794086,21.689179073866214,7.937455180122576,1.9291004178887113e-15
9,28.6,41.264150846728064,21.657782911481497,9.44742795882781,1.8527185911108247e-15
10,24.8,48.91581793562843,21.8531126567968,8.041489326417596,1.8734840565084226e-15
11,30.8,37.666631233271104,21.539609707234888,10.293274498829069,1.810846019325158e-15
12,32.0,36.035876229888515,21.469877802754763,10.724251520462648,1.7626101479176873e-15
