time_s,pressure_bar,flow_ml_s,beverage_mass_g,solids_g,instant_tds_percent,cumulative_tds_percent,extraction_yield_percent,mean_wetness
0.0,2.0,0.30585915183164536,0.0593366754553392,0.000642840748601641,1.0833784395040573,1.0833784395040573,0.003571337492231338,0.014522658485013376
0.2,2.0,0.30585915183164536,0.1186733509106784,0.0019281918187402023,2.1662000108280477,1.6247892251660525,0.010712176770778901,0.02904531697002675
0.4,2.0,0.30585915183164536,0.1780100263660176,0.0038553926868983256,3.247908402971894,2.165828951101333,0.021418848260546255,0.04356797545504013
0.6000000000000001,2.0,0.30585915183164536,0.2373467018213568,0.006423453393822771,4.327948418440365,2.706358817936091,0.035685852187904286,0.0580906339400535
0.8,2.0,0.30585915183164536,0.296683377276696,0.009631055534332454,5.40576652786006,3.246240359920885,0.053505864079624745,0.0726132924250669
1.0,2.0,0.30585915183164536,0.35602005273203524,0.013476553574700586,6.480811422039501,3.7853355369406545,0.07486974208166992,0.08713595091008026
1.2000000000000002,2.0,0.30585915183164536,0.41535672818737446,0.01795797649559243,7.55253456062746,4.323506826038769,0.09976653608662461,0.10165860939509364
1.4000000000000001,2.0,0.30585915183164536,0.4746934036427137,0.023073029758044036,8.62039071653339,4.860617312350596,0.1281834986558002,0.116181267880107
1.6,2.0,0.30585915183164536,0.5340300790980529,0.028819097589475824,9.683838515281609,5.396530779342931,0.16010609771931014,0.1307039263651204
1.8,2.0,0.30585915183164536,0.593366754553392,0.03519324558624987,10.742340968481907,5.931111798256828,0.1955180310347215,0.1452265848501338
2.0,2.0,0.30585915183164536,0.6527034300087312,0.04219222362880259,11.795366000612246,6.464225816652776,0.23440124238223659,0.15974924333514715
2.2,2.0,0.30585915183164536,0.7120401054640704,0.04981246910491433,12.842386968321573,6.995739245958509,0.2767359394717463,0.17427190182016053
2.4000000000000004,2.0,0.30585915183164536,0.7713767809194095,0.0580501104362186,13.882883171478781,7.525519547921607,0.32250061353454773,0.1887945603051739
